category,priority,edge_id,from_id,from_name,to_id,to_name,recommended_action,notes
"add_path","high","eB00055","east_campus_lot","East Campus Lot","wilkins_lot","Wilkins Theater Lot","add_path","No alternate route in current graph."
"add_path","high","eB00101","overflow_parking","Overflow Parking","stem_main","New Jersey Center for Science, Technology and Mathematics (STEM) Main Entrance","add_path","Current alternate route is very long; trace the legal sidewalk connection."
"add_path","high","eB00037","cougar_hall_lot","Cougar Hall Lot","guest_house_main","Guest House Main Entrance","add_path","Current alternate route is very long; add direct legal walkway."
"add_path","high","eB00073","hennings_hall_front","George Hennings Hall Entrance front","overflow_parking","Overflow Parking","add_path","Current alternate route is very long; trace actual pedestrian access."
"add_path","high","eB00036","cougar_hall_lot","Cougar Hall Lot","cougar_hall_main","Cougar Hall Main Entrance","add_path","Current alternate route is very long; trace actual lot-to-building walkway."
"add_path","medium","eB00012","alumni_stadium_main","Alumni Stadium Main Entrance","harwood_lot","Harwood Lot","add_path","Improve west-side routing and parking access."
"add_path","medium","eB00041","d_angola_gym_main","D'Angola Gymnasium Main Entrance","jim_hynes_stadium_main","Jim Hynes '63 Stadium Main Entrance","add_path","Improve athletics routing."
"add_path","medium","eB00040","d_angola_gym_main","D'Angola Gymnasium Main Entrance","harwood_lot","Harwood Lot","add_path","Improve athletics/arena access."
"add_path","medium","eB00060","glab_lot","GLAB Lot","glab_main","Green Lane Academic Building (GLAB) Main Entrance","add_path","Important lot-to-building connection."
"add_path","medium","eB00002","administration_lot","Administration Lot","d_angola_gym_main","D'Angola Gymnasium Main Entrance","add_path","Fills west-campus pedestrian link."
"add_path","medium","eB00066","green_house_main","Green House / Faculty Lounge Main Entrance","science_building_main","Science Building Main Entrance","add_path","Improves north-central academic routing."
"add_path","medium","eB00011","alumni_stadium_main","Alumni Stadium Main Entrance","glab_lot","GLAB Lot","add_path","Improves stadium-to-north-campus routing."
"add_path","medium","eB00013","alumni_stadium_main","Alumni Stadium Main Entrance","kean_hall_lot","Kean Hall Lot","add_path","Improves stadium-to-main-campus routing."
